Issue Type,Issue key,Issue id,Updated,Custom field (Epic Link),Created,Summary,Status,Resolution,Affects Version/s,Affects Version/s,Custom field (Story Points),Custom field (Epic Name),Labels,Labels,Labels,Labels,Labels,Labels,Labels,Component/s,Custom field (Issue Resolution),Resolved,Sprint,Sprint,Custom field (Begin Date),Custom field (End Date),Fix Version/s,Fix Version/s,Outward issue link (Blocks),Outward issue link (Child-Issue),Outward issue link (Cloners),Outward issue link (Defect),Outward issue link (Dependent),Outward issue link (Dependent),Outward issue link (Gantt: finish-start),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates)
Story,AAKO-8974,1516120,6/20/18 17:22,AAKO-28,6/20/18 17:22,Participant Credit quota for future months at processing month alignment (ED)  ,Open,,MIT,,,,Mitek,,,,,,,Targaryen,,,,,,,MIT,,,,,,,,,,,
Story,AAKO-8720,1515546,6/20/18 17:23,AAKO-28,6/20/18 14:47,Automate Include in ICM? Flag for Future Month Quota SD  (2/2),Open,,Spine,,13,,MUST,Spine,,,,,,Targaryen,,,AAKO-Targaryen - C2,,,,Spine,,,,,,,,,,,
Story,AAKO-8201,1514436,6/20/18 11:51,AAKO-3983,6/20/18 11:48,C.3 Updates & Enhancements,Open,,Spine,,,,MUST,Spine,,,,,,Stark,,,AAKO - Stark - C.4,,,,Spine,,,,AAKO-8200,,,,,,,
Story,AAKO-8200,1514416,6/20/18 11:48,AAKO-3983,6/20/18 11:27,C.2 Updates & Enhancements,Open,,Spine,,3,,MUST,Spine,,,,,,Stark,,,AAKO - Stark - C.3,,,,Spine,,,,AAKO-7837,,,,,,,
Story,AAKO-8189,1511682,6/23/18 8:39,AAKO-2277,6/19/18 15:32,Work Flow for Analyst Approval  (Payments),Open,,Spine,,13,,,,,,,,,Mormont,,,AAKO - Mormont - Corbett.2,,,,Spine,,,,,,,,,AAKO-8182,,
Story,AAKO-8181,1511019,6/20/18 17:27,AAKO-3957,6/19/18 10:49,Sales Exclusions- Change to Exclude Prior to Geo Crediting - Option #3 (ED),Open,,MIT,,,,Mitek,,,,,,,Targaryen,,,,,,,MIT,,,,,,,,,,,
Story,AAKO-8179,1511003,6/20/18 15:07,AAKO-3957,6/19/18 10:42,Sales Exclusions prior to Geo Crediting -  Delta Exclusions -Option #3 (SD),Open,,Spine,,5,,MUST,,,,,,,Targaryen,,,AAKO-Targaryen - C2,,,,Spine,,,,,,,,,,,
Story,AAKO-8178,1510652,6/22/18 15:46,AAKO-3957,6/19/18 9:55,Setup Sales Exclusions - All level of Product Hierarchy,Open,,Spine,,8,,MUST,Spine,,,,,,Targaryen,,,AAKO-Targaryen - C1,,,,Spine,,AAKO-7804,,,,,,,,,
Story,AAKO-8171,1503345,6/20/18 13:17,AAKO-8074,6/14/18 16:58,Data Uploads - RAW Portal View + Remap Post: Sales - RAW-SPN-Lifenet Sales (SPN),Open,,Spine,,2,,,,,,,,,Mormont,,,AAKO - Mormont - Corbett.2,,,,Spine,,,,,,,,,,,
Story,AAKO-8170,1503344,6/14/18 16:59,AAKO-8074,6/14/18 16:58,Data Uploads - RAW Portal View + Remap Post: Sales - RAW-SYN-Sales Adjustments (SPN),Open,,Spine,,2,,,,,,,,,Mormont,,,,,,,Spine,,,,,,,,,,,
