Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Child-Issue),Outward issue link (Cloners),Outward issue link (Defect),Outward issue link (Dependent),Outward issue link (Dependent),Outward issue link (Gantt: finish-start),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Acceptance Criteria),Custom field (Actor Name),Custom field (Actor Type),Custom field (Approval Category),Custom field (Are business resources available?),Custom field (Asset Status),Custom field (Assets Link),Custom field (BP Year),Custom field (BUIT Lead),Custom field (Business Impact Description),Custom field (Business Value),Custom field (CAR Name),Custom field (CMDB Application ID),Custom field (CO),Custom field (CR),Custom field (Country),Custom field (DARM ID),Custom field (Defect Analysis and Resolution),Custom field (Developer),Custom field (Doc ID),Custom field (Does this impact multiple regions?),Custom field (Environment Affected),Custom field (Environment Information),Custom field (Epic Link),Custom field (Estimated Asset Date),Custom field (Final Asset Delivered Date),Custom field (Final Estimated Cost (USD)),Custom field (Final Estimated Delivery Date),Custom field (Final Estimated Hours),Custom field (Flagged),Custom field (Franchise + Brand),Custom field (Funding Type),Custom field (GDDM Routing Check),Custom field (Governance Body),Custom field (Governance Contact),Custom field (Hosting Provider),Custom field (ICA),Custom field (Initial Estimated Cost (USD)),Custom field (Initial Estimated Delivery Date),Custom field (Initial Estimated Hours),Custom field (Instantis ID),Custom field (Is Campaign Related?),Custom field (Is budget available?),Custom field (Is this request in-line with the business strategy?),Custom field (Is this request in-line with the product strategy?),Custom field (Issue Resolution),Custom field (Latest Summary),Custom field (Link to Feature),Custom field (Migration Information),Custom field (Moscow),Custom field (New URL),Custom field (Number of Languages),Custom field (Number of Pages),Custom field (Number of Templates),Custom field (Owner),Custom field (PEL),Custom field (PMx Project Name),Custom field (Pharma EMEA Functional Area),Custom field (Pharma EMEA Service Change Type),Custom field (Pharma EMEA Submit for backlog refinement),Custom field (Pharma EMEA Test Strategy),Custom field (Product),Custom field (Product Line),Custom field (Proposed Action & Platform),Custom field (Rank),Custom field (Reason),Custom field (Region + Country/Market),Custom field (Requested Go Live),Custom field (Requestor),Custom field (Requirement ID),Custom field (Requirement Status),Custom field (Requirement Type),Custom field (Root Cause),Custom field (SAP Transport),Custom field (SOW/Vendor Ref),Custom field (Scope),"Custom field (Sector, Franchise & Brand)","Custom field (Sector, Product Line, Product & Approach)",Custom field (Service Specialist),Custom field (Severity),Sprint,Sprint,Custom field (Stage of Risk Identification),Custom field (Stage of Risk Impact),Custom field (Story Points),Custom field (Summarized Estimate),Custom field (System Test ID),Custom field (TP ID),Custom field (Target Resolution Date),Custom field (Team Name),Custom field (Team Name),Custom field (Team Name),Custom field (Team Name),Custom field (Team Name),Custom field (Team Name),Custom field (Team Name),Custom field (Team Name),Custom field (Team Name),Custom field (Technical Design URL),Custom field (Technical Risk),Custom field (Technical Risk Comment),Custom field (Tester),Custom field (Tier),Custom field (Traceable to business process),Custom field (UAT Test ID),Custom field (URL),Custom field (Unit Testable),Custom field (Upcoming Brand Activities),Custom field (Visualization),Custom field (Web Hosting Env),Custom field (Web Hosting Subs),Custom field (Work Type),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Add a Paid Flag in the WWID-S-Q-PY-BL Adjustment table,AAKO-10045,1585909,Story,Open,AAKO,PAYDAY ,software,mmarsh3,,,High,,jstanchi,BSobczy2,BSobczy2,17/Jul/18 11:50 AM,17/Jul/18 12:51 PM,17/Jul/18 2:52 PM,,Spine,,Spine,,Lannister,,0,,,,,,,,"As a Comp Analyst I want to be added Paid flag in the WWID-S-Q-PY-BL Adjustment entry table So that i will be able to see what adjustment was payed 

The system will not allowed an adjustment to the paid or on holed recoreds ",,BSobczy2,,,,,,,,,,,,,,,,,,,,,,,,,17/Jul/18 12:44 PM;agolani;PAID History (AAKO-4615).pptx;https://jira.jnj.com/secure/attachment/657862/PAID+History+%28AAKO-4615%29.pptx,17/Jul/18 11:52 AM;BSobczy2;image-2018-07-17-11-52-45-917.png;https://jira.jnj.com/secure/attachment/657834/image-2018-07-17-11-52-45-917.png,,,,,,,,,, !image-2018-07-17-11-52-45-917.png|thumbnail! ,,,NONE,,,,,,,,,,,,,,,,,,,,AAKO-3987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|ht0632:,,,,,,,,,,,,,,,,AAKO-Lannister - C3,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.2 Updates & Enhancements - Statement Hyperlink Removal,AAKO-10044,1585625,Story,Open,AAKO,PAYDAY ,software,mmarsh3,,,High,,,szlockie,szlockie,17/Jul/18 10:37 AM,17/Jul/18 10:48 AM,17/Jul/18 3:54 PM,,Spine,,Spine,,Stark,,0,MUST,Spine,,,,,,"
- Remove the hyperlinks displaying on the individual territory lines on the Expansion Cat Tracking section on the statements

",,szlockie,,,,,,,,,,,,,,,,,AAKO-8200,,,,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,,AAKO-3983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|ht0izb:i,,,,,,,,,,,,,,,,AAKO - Stark - C.3,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JJMD Roster - Historical View correction,AAKO-10038,1582261,Story,Open,AAKO,PAYDAY ,software,mmarsh3,,,High,,,szlockie,szlockie,16/Jul/18 12:20 PM,17/Jul/18 11:10 AM,17/Jul/18 3:54 PM,,Spine,,Spine,,Stark,,0,MUST,Spine,,,,,,"As a member of the FSO, i need to have clearly defined historical information related to my Cust-Alignment report so I can understand the movement of customers aligned to me this year.
",,szlockie,,,,,,,,,,,,,,,,,AAKO-10036,,,,,,,,,,,,,,,,,,,"A report showing the historical view of the roster. Same issue was worked on in AAKO-10036 for the Customer-Alignment historical view duplication.

Need to reorganize the historical view tab in order to account for the duplication issue (as discussed in prior story AAKO-9811).

Easiest way to accommodate this change is to 'bucket' the view and force sales reps to chose a historical date in which to view the roster. 
- This solution was instituted for the deployment report ""Customers Aligned to Participants Acct Level Report"": AAKO-8051.

Justin is investigating whether we can have the user simply select a date and have the view generated per that view (as opposed to pre-selected buckets based on fiscal periods, for instance).",,,NONE,,,,,,,,,,,,,,,,,,,,AAKO-3983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hxmfn1:i,,,,,,,,,,,,,,,,AAKO - Stark - C.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer to Participant - Historical View correction,AAKO-10036,1582254,Story,Open,AAKO,PAYDAY ,software,mmarsh3,,,High,,,szlockie,szlockie,16/Jul/18 12:09 PM,17/Jul/18 11:10 AM,17/Jul/18 3:54 PM,,Spine,,Spine,,Stark,,0,MUST,Spine,,,,,,"As a member of the FSO, i need to have clearly defined historical information related to my Cust-Alignment report so I can understand the movement of customers aligned to me this year.
",,szlockie,,,,,,,,,,,,,,,,,AAKO-9811,,,,,,,,,,,,,,,,,,,"A report showing the historical view of customer-participant alignment for the FSO member signed in.

Need to reorganize the historical view tab in order to account for the duplication issue (as discussed in prior story AAKO-9811).

Easiest way to accommodate this change is to 'bucket' the view and force sales reps to chose a historical date in which to view the alignment. 
- This solution was instituted for the deployment report ""Customers Aligned to Participants Acct Level Report"": AAKO-8051.

Justin is investigating whether we can have the user simply select a date and have the view generated per that view (as opposed to pre-selected buckets based on fiscal periods, for instance).",,,NONE,,,,,,,,,,,,,,,,,,,,AAKO-3983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hxmfn2:,,,,,,,,,,,,,,,,AAKO - Stark - C.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY Quota at Current Alignment - Testing scenarios,AAKO-10034,1581496,Story,Open,AAKO,PAYDAY ,software,mmarsh3,,,High,,,szlockie,szlockie,16/Jul/18 9:29 AM,16/Jul/18 12:06 PM,17/Jul/18 3:54 PM,,Spine,,Spine,,Stark,,0,MUST,Spine,,,,,,"Story for Lance to conduct mobile testing

",,szlockie,,,,,,,,,,,,,,,,,AAKO-10015,,,,,,,,,,,,,,,,,,,"Story for testing scenarios for the FY Quota at Current Alignment Reports built in C.2 (AAKO-7977, AAKO-7978, AAKO-6695).  

Putting in this sprint as Targaryen did not have useable data populated in the Open tables, and Lannister is still completing work on the Paid tables. 

Namely, need to test alignment: 
- e.g. a sales consultant has an account aligned to them from M1-M6, but realigned away from them at that point. Need to ensure those snapshots stay in their view through the end of the year.
- A customer can NOT have sales rep alignment for a given month, however those quota values still count towards an RM's quota total and would need to be accounted for.

",,,NONE,,,,,,,,,,,,,,,,,,,,AAKO-3983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hxmfn1:,,,,,,,,,,,,,,,,AAKO - Stark - C.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.1 MOBILE TESTING,AAKO-10016,1575020,Story,Open,AAKO,PAYDAY ,software,mmarsh3,,,High,,,szlockie,szlockie,12/Jul/18 2:52 PM,16/Jul/18 12:01 PM,17/Jul/18 3:54 PM,,Spine,,Spine,,Stark,,0,MUST,Spine,,,,,,"Story for Lance to conduct mobile testing

",,szlockie,,,,,,,,,,,,,,,,,AAKO-10015,,,,,,,,,,,,,,,,,,,"Story for the mobile testing of the following developed reports: 

- All Aligned Sales
- Customer Alignment 
- Roster

Testing will ensure: 
- Proper aesthetics for smooth navigation and user comprehension
- Correct functionality: links, drill downs, etc
- Valid and accurate data: the data shown in these views should be identical to what's in the desktop version previously tested
- Appropriate app speed and responsiveness regardless of device (iOs, android, phone/tablet)",,,NONE,,,,,,,,,,,,,,,,,,,,AAKO-3983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|ht068n:3,,,,,,,,,,,,,,,,AAKO - Stark - D.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.4 MOBILE TESTING,AAKO-10015,1575016,Story,Open,AAKO,PAYDAY ,software,mmarsh3,,,High,,,szlockie,szlockie,12/Jul/18 2:51 PM,17/Jul/18 3:41 PM,17/Jul/18 3:54 PM,,Spine,,Spine,,Stark,,0,MUST,Spine,,,,,,"Story for Lance to conduct mobile testing

",,szlockie,,,,,,,,,,,,,,,,,AAKO-10014,,,,,,,,,,,,,,,,,,,"Story for the mobile testing of the following developed reports: 

- DART
- Sales Performance Reports
- Downloads

Testing will ensure: 
- Proper aesthetics for smooth navigation and user comprehension
- Correct functionality: links, drill downs, etc
- Valid and accurate data: the data shown in these views should be identical to what's in the desktop version previously tested
- Appropriate app speed and responsiveness regardless of device (iOs, android, phone/tablet)",,,NONE,,,,,,,,,,,,,,,,,,,,AAKO-3983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hxmfn2:i,,,,,,,,,,,,,,,,AAKO - Stark - C.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.3 MOBILE TESTING,AAKO-10014,1575013,Story,Open,AAKO,PAYDAY ,software,mmarsh3,,,High,,,szlockie,szlockie,12/Jul/18 2:47 PM,17/Jul/18 3:42 PM,17/Jul/18 3:54 PM,,Spine,,Spine,,Stark,,0,MUST,Spine,,,,,,"Story for Lance to conduct mobile testing

",,szlockie,,,,,,,,,,,,,,,,,AAKO-8200,,,,,,,,,,,,,,,,,,,"Story for the mobile testing of the following developed reports: 

- Statements
- Team Split Tool
- Comp Progress Dashboard

Testing will ensure: 
- Proper aesthetics for smooth navigation and user comprehension
- Correct functionality: links, drill downs, etc
- Valid and accurate data: the data shown in these views should be identical to what's in the desktop version previously tested
- Appropriate app speed and responsiveness regardless of device (iOs, android, phone/tablet)",,,NONE,,,,,,,,,,,,,,,,,,,,AAKO-3983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|yi1pkq:,,,,,,,,,,,,,,,,AAKO - Stark - C.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automate Include in ICM? Flag for Future Month PY Sales ED  (2/2),AAKO-9911,1563793,Story,Open,AAKO,PAYDAY ,software,mmarsh3,,,High,,AGupt143,rgreleck,rgreleck,10/Jul/18 12:06 PM,10/Jul/18 12:09 PM,17/Jul/18 3:54 PM,,MIT,,MIT,,Targaryen,,0,Mitek,,,,,,,"As a Field Rep I want to see how I'm tracking towards Growth Sales over Prior Year - ---- this story supports this need by automating the update of the Period Metric table.   

TASKS created were Cloned and may need updating. ",,rgreleck,,,,,,,,,,,172800,172800,,,,,AAKO-9901,,,,,,,,,,,,,,,,,,,"Story 2  - Automate Include in ICM? Flag for Future Month Prior Year Sales ED 
Update the Valid Metrics processes to create the future months 

Testing:  Full MVP job run – as baseline- 
Run MVP job again – ICM should be the same – all PY Sales should be the same.    
Effective Date:  All months -  Jan > Current Months “Include in ICM?” = Yes and Future Months of PY Sales all have “Include in ICM?” = No
",,,NONE,,,,,,,,,,,,,,,,,,,,AAKO-4890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|ht06rw:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant -Credit Full Prior Year Sales for future Mths at Current Alignment - Table and Process Updates -ED  (1/2),AAKO-9910,1563790,Story,Open,AAKO,PAYDAY ,software,mmarsh3,,,High,,,rgreleck,rgreleck,10/Jul/18 12:00 PM,10/Jul/18 12:09 PM,17/Jul/18 3:54 PM,,MIT,,MIT,,Targaryen,,0,Mitek,,,,,,,"Story for use in conjunction (""Report Showing Full-Year Prior Year Sales      TBD story#
Both participant & geo crediting

This story supports the Full Prior Year crediting at current Alignment - Same type of logic as AAKO-6990",,rgreleck,,,,,,,,,,,,,,,,,AAKO-6994,,,,,,,,,,,,,,,,,,,"               (Update to Process Driver - not in this story - but required ) GEO Crediting already works
ED processing 
Apply Prior Year Sales along with the Metric Period (YTD, HTD, QTD)
* Update OPEN-Participant Sales-ED  - New Field  ""Include in ICM?""  
* Update PAID-Participant Sales-ED  - New Field  ""Include in ICM?""  
* Update CRD-Participant Sales-ED - New Field  ""Include in ICM?""  
* Update Tables:  Other tables??      See SD solution 
* Update all Processes using the tables with the New Filter with condition
",,,NONE,,,,,,,,,,,,,,,,,,,,AAKO-4890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|ht06su:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
