Issue Type,Issue key,Issue id,Updated,Custom field (Epic Link),Created,Summary,Status,Resolution,Affects Version/s,Affects Version/s,Custom field (Story Points),Custom field (Epic Name),Labels,Labels,Labels,Labels,Labels,Labels,Labels,Component/s,Component/s,Custom field (Issue Resolution),Resolved,Sprint,Sprint,Custom field (Begin Date),Custom field (End Date),Fix Version/s,Fix Version/s,Outward issue link (Blocks),Outward issue link (Child-Issue),Outward issue link (Cloners),Outward issue link (Defect),Outward issue link (Dependent),Outward issue link (Dependent),Outward issue link (Gantt: finish-start),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates)
Story,AAKO-8052,1494598,12/Jun/18 7:48 AM,,12/Jun/18 7:43 AM,Deployment Reporting - (3 of 3): Territory Structure Report,Open,,Spine,,5.0,,FirstBU,,,,,,,Mormont,,,,,,,,Spine,,,,AAKO-8051,,,,,,,
Story,AAKO-8051,1494622,12/Jun/18 7:43 AM,,12/Jun/18 7:25 AM,Deployment Reporting - (1 of 3): Account Level Report,Open,,Spine,,13.0,,FirstBU,,,,,,,Mormont,,,,AAKO - Mormont - Corbett.4,,,,Spine,,,,AAKO-5476,,,,,,,
Story,AAKO-8050,1491268,11/Jun/18 1:25 PM,AAKO-4885,11/Jun/18 1:24 PM,Sterilmed - Load Product Master from PAS Product Hierarchy,Open,,ETH,,,,Ethicon,,,,,,,Targaryen,,,,,,,,ETH,,,,,,,,,,,
Story,AAKO-8044,1491214,11/Jun/18 1:41 PM,AAKO-3983,11/Jun/18 12:08 PM,Full-year Quota & Baseline Views - Analyst Access,Open,,Spine,,,,Spine,,,,,,,Stark,,,,AAKO - Stark - C.1,,,,Spine,,,,AAKO-6695,,AAKO-6697,,,,,
Story,AAKO-8043,1490564,11/Jun/18 2:23 PM,AAKO-3987,11/Jun/18 9:56 AM,Update the Portal links for Roles,Open,,Spine,,,,,,,,,,,Lannister,,,,AAKO-Lannister - C1,,,,Spine,,,,,,,,,,,
Story,AAKO-8042,1490453,11/Jun/18 2:30 PM,AAKO-4890,11/Jun/18 9:08 AM,Warning - Participant Crediting <>100% based on Customer Share Exception,Open,,Spine,,,,Spine,,,,,,,Targaryen,,,,AAKO-Targaryen - C1,,,,Spine,,,,,,,,,,,
Story,AAKO-8041,1490447,11/Jun/18 9:06 AM,AAKO-4890,11/Jun/18 9:04 AM,Warning when No Participant is credited for Sales,Open,,Spine,,3.0,,Spine,,,,,,,Targaryen,,,,AAKO-Targaryen - C1,,,,Spine,,,,,,,,,,,
Story,AAKO-7978,1487884,11/Jun/18 12:17 PM,AAKO-3983,08/Jun/18 11:11 AM,Full-year Quota & Baseline View by Territory,Open,,Spine,,,,Spine,,,,,,,Stark,,,,AAKO - Stark - C.1,,,,Spine,,,,AAKO-6695,,AAKO-6697,,,,,
Story,AAKO-7977,1487880,11/Jun/18 12:17 PM,AAKO-3983,08/Jun/18 10:59 AM,Full-year Quota & Baseline View by Customer,Open,,Spine,,,,Spine,,,,,,,Stark,,,,AAKO - Stark - C.1,,,,Spine,,,,AAKO-6695,,AAKO-6697,,,,,
Story,AAKO-7900,1484427,11/Jun/18 3:53 PM,AAKO-297,07/Jun/18 8:44 AM,Admin/Cleanup Tasks: System/Portal Cleanup - Component/Table/Link Naming Conventions (no config/build),Open,,Spine,,3.0,,FirstBU,,,,,,,Mormont,,,,AAKO - Mormont - IP Sprint,,,,Spine,,,,,,,,,,,
Story,AAKO-7857,1482885,06/Jun/18 6:07 PM,AAKO-3978,06/Jun/18 6:05 PM,Validation Warning  - Earnings,Open,,Spine,,,,Spine,,,,,,,Targaryen,,,,AAKO-Targaryen - C2,,,,Spine,,,,,,,,,,,
Story,AAKO-7856,1482249,08/Jun/18 8:43 AM,AAKO-22,06/Jun/18 1:48 PM,Update Geo Sales Adjustment Audit with Date/Time instead of just Date ,Open,,Spine,,5.0,,Spine,,,,,,,Targaryen,,,,AAKO-Targaryen - IPC,,,,Spine,,,,,,,,,,,
Story,AAKO-7851,1481095,11/Jun/18 3:53 PM,AAKO-3982,06/Jun/18 9:40 AM,Studio Apps - Internal Analyst Portal Cleanup/Move Links,Open,,Spine,,3.0,,FirstBU,,,,,,,Mormont,,,,AAKO - Mormont - IP Sprint,,,,Spine,,,,,,,,,,,
Story,AAKO-7837,1477999,05/Jun/18 10:57 AM,AAKO-3983,05/Jun/18 9:33 AM,C.1 Updates & Enhancements,Open,,Spine,,3.0,,Spine,,,,,,,Stark,,,,AAKO - Stark - C.2,,,,Spine,,,,AAKO-7026,,,,,,,
Story,AAKO-7824,1472242,07/Jun/18 3:50 PM,,01/Jun/18 12:57 PM,C&E Analyst Role Clean Up in Pre Production,Open,,Spine,,2.0,,Spine,,,,,,,Stark,,,,AAKO - Stark - IP Sprint,,,,Spine,,,,,,,,,,,
Story,AAKO-7805,1466865,11/Jun/18 8:26 AM,AAKO-3958,31/May/18 7:28 AM,Implement new Sox mtd - Replace Form with File Import of Customer to Geo Alignments inclusive of Acct Shares,Open,,Spine,,,,Spine,,,,,,,Targaryen,,,,,,,,Spine,,,,,,,,,,,
Story,AAKO-7804,1466849,11/Jun/18 9:06 AM,AAKO-3958,31/May/18 7:23 AM,[PLACEHOLDER] Sales Exclusions prior to Geo Crediting,Open,,Spine,,,,Spine,,,,,,,Targaryen,,,,AAKO-Targaryen - C1,,,,Spine,,,,,,,,,,,
Story,AAKO-7795,1463109,01/Jun/18 9:53 AM,,29/May/18 5:08 PM,Add Position Title to ENT-Position,Open,,Trauma,,,,Trauma,,,,,,,Lannister,,,,AAKO-Lannister - C4,,,,Trauma,,,,,,,,,,,
Story,AAKO-7794,1462675,29/May/18 4:20 PM,AAKO-10,29/May/18 3:44 PM,Geo Credited Sales - Data View at Customer/Invoice Level ,Open,,Spine,,,,Spine,,,,,,,Mormont,,,,,,,,Spine,,,,,,,,,,,
Story,AAKO-7721,1452656,24/May/18 2:19 PM,AAKO-4903,24/May/18 11:53 AM,Common Payment Process - Update Ethicon and CSS metrics to Process Termed Participant,Open,,ETH,,,,FirstBU,PI-B,,,,,,Lannister,,,,,,,,ETH,,,,AAKO-162,,,,,,,
Story,AAKO-7702,1452634,07/Jun/18 8:20 AM,AAKO-4903,24/May/18 11:51 AM,Common Payment Process - Update JR metrics to Process Termed Participant,Open,,,,,,Recon-Direct,,,,,,,Lannister,,,,,,,,Recon - Direct ,Recon - Distributer,,,AAKO-162,,,,,,,
Story,AAKO-7683,1452609,01/Jun/18 9:53 AM,AAKO-4903,24/May/18 11:48 AM,"Common Payment Process - Update TRM, CMF, MIT and DPS Manager metrics to Process Termed Participant",Open,,Trauma,,,,DPS,,,,,,,Lannister,,,,AAKO-Lannister - C3,,,,Trauma,,,,AAKO-162,,,,,,,
Story,AAKO-7665,1451951,11/Jun/18 9:33 AM,,24/May/18 10:41 AM,PRM Expansion Category table - add Primary Geo Flag,Open,,Spine,,3.0,,Spine,,,,,,,Targaryen,,,,AAKO-Targaryen - C1,,,,Spine,,,,,,,,,,,
Story,AAKO-7660,1451939,05/Jun/18 12:18 PM,,24/May/18 10:18 AM,Update catalog,Completed,Done,Spine,,3.0,,FirstBU,,,,,,,Lannister,,Done,05/Jun/18 12:18 PM,Lannister - Bandhavgarh.4,,,,Spine,,,,,,,,,,,
Story,AAKO-7626,1451794,05/Jun/18 2:27 PM,AAKO-2277,24/May/18 9:44 AM,Harmonize the workflow from backend configuration perspective,Completed,Done,Spine,,3.0,,,,,,,,,Mormont,,Done,05/Jun/18 2:27 PM,AAKO - Mormont - Bandhavgarh.4,,,,Spine,,,,,,,,,,,
Story,AAKO-7515,1449853,01/Jun/18 3:48 PM,AAKO-4889,23/May/18 4:27 PM,Update Geography Entity to include a new level (5) to the entity and process,Completed,Done,Spine,,5.0,,Spine,,,,,,,Targaryen,,Done,01/Jun/18 3:48 PM,AAKO-Targaryen - Bandhavgarh.4,,,,Spine,,AAKO-7437,,,,,,,,,
Story,AAKO-7443,1446585,11/Jun/18 8:40 AM,AAKO-3982,22/May/18 3:29 PM,Story to test scenarios w/ current dependencies,Open,,Spine,,5.0,,,,,,,,,Stark,,,,AAKO - Stark - C.2,,,,Spine,,,,AAKO-6997,,AAKO-7839,,,,,
