Issue Type,Issue key,Issue id,Updated,Custom field (Epic Link),Created,Summary,Status,Resolution,Affects Version/s,Affects Version/s,Custom field (Story Points),Custom field (Epic Name),Labels,Labels,Labels,Labels,Labels,Labels,Labels,Component/s,Custom field (Issue Resolution),Resolved,Sprint,Sprint,Custom field (Begin Date),Custom field (End Date),Fix Version/s,Fix Version/s,Outward issue link (Blocks),Outward issue link (Child-Issue),Outward issue link (Cloners),Outward issue link (Defect),Outward issue link (Dependent),Outward issue link (Dependent),Outward issue link (Gantt: finish-start),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates)
Story,AAKO-9649,1533476,27/Jun/18 5:11 PM,AAKO-3986,27/Jun/18 5:11 PM,Comp Summary / Accrual - Split out Dual Commission Sales and Earnnings,Open,,Trauma,,,,Trauma,,,,,,,Targaryen,,,,,,,Trauma,,,,,,,,,,,
Story,AAKO-9648,1533475,27/Jun/18 5:09 PM,AAKO-3986,27/Jun/18 5:09 PM,[Placeholder] Comp Summary / Accrual Freeze of C+1 data,Open,,Recon - Direct ,,,,Recon,,,,,,,Targaryen,,,,,,,Recon - Direct ,,,,,,,,,,,
Story,AAKO-9647,1533474,27/Jun/18 5:07 PM,AAKO-3986,27/Jun/18 5:07 PM,[Placeholder] Comp Summary / Accrual -  Ability to Add Non-Programmable $$,Open,,CSS,,,,LastBU,,,,,,,Targaryen,,,,,,,CSS,,,,,,,,,,,
Story,AAKO-9644,1529795,26/Jun/18 11:09 AM,AAKO-3984,26/Jun/18 11:06 AM,Statements: Ability to re-create statements from Archived table,Open,,LastBu,,,,LastBU,,,,,,,Stark,,,,,,,LastBu,,,,AAKO-5144,,,,,,,
Story,AAKO-8974,1516120,20/Jun/18 5:22 PM,AAKO-28,20/Jun/18 5:22 PM,Participant Credit quota for future months at processing month alignment (ED)  ,Open,,MIT,,,,Mitek,,,,,,,Targaryen,,,,,,,MIT,,,,,,,,,,,
Story,AAKO-8720,1515546,29/Jun/18 12:22 PM,AAKO-28,20/Jun/18 2:47 PM,Automate Include in ICM? Flag for Future Month Quota SD  (2/2),Open,,Spine,,13.0,,MUST,Spine,,,,,,Targaryen,,,AAKO-Targaryen - C2,,,,Spine,,,,,,,,,,,
Story,AAKO-8201,1514436,20/Jun/18 11:51 AM,AAKO-3983,20/Jun/18 11:48 AM,C.3 Updates & Enhancements,Open,,Spine,,,,MUST,Spine,,,,,,Stark,,,AAKO - Stark - C.4,,,,Spine,,,,AAKO-8200,,,,,,,
Story,AAKO-8200,1514416,20/Jun/18 11:48 AM,AAKO-3983,20/Jun/18 11:27 AM,C.2 Updates & Enhancements,Open,,Spine,,3.0,,MUST,Spine,,,,,,Stark,,,AAKO - Stark - C.3,,,,Spine,,,,AAKO-7837,,,,,,,
Story,AAKO-8189,1511682,23/Jun/18 8:39 AM,AAKO-2277,19/Jun/18 3:32 PM,Work Flow for Analyst Approval  (Payments),Open,,Spine,,13.0,,,,,,,,,Mormont,,,AAKO - Mormont - Corbett.2,,,,Spine,,,,,,,,,AAKO-8182,,
Story,AAKO-8181,1511019,20/Jun/18 5:27 PM,AAKO-3957,19/Jun/18 10:49 AM,Sales Exclusions- Change to Exclude Prior to Geo Crediting - Option #3 (ED),Open,,MIT,,,,Mitek,,,,,,,Targaryen,,,,,,,MIT,,,,,,,,,,,
Story,AAKO-8179,1511003,20/Jun/18 3:07 PM,AAKO-3957,19/Jun/18 10:42 AM,Sales Exclusions prior to Geo Crediting -  Delta Exclusions -Option #3 (SD),Open,,Spine,,5.0,,MUST,,,,,,,Targaryen,,,AAKO-Targaryen - C2,,,,Spine,,,,,,,,,,,
Story,AAKO-8178,1510652,28/Jun/18 11:59 AM,AAKO-3957,19/Jun/18 9:55 AM,Setup Sales Exclusions - All level of Product Hierarchy,In Progress,,Spine,,8.0,,MUST,Spine,,,,,,Targaryen,,,AAKO-Targaryen - C1,,,,Spine,,AAKO-7804,,,,,,,,,
Story,AAKO-8171,1503345,20/Jun/18 1:17 PM,AAKO-8074,14/Jun/18 4:58 PM,Data Uploads - RAW Portal View + Remap Post: Sales - RAW-SPN-Lifenet Sales (SPN),Open,,Spine,,2.0,,,,,,,,,Mormont,,,AAKO - Mormont - Corbett.2,,,,Spine,,,,,,,,,,,
Story,AAKO-8170,1503344,14/Jun/18 4:59 PM,AAKO-8074,14/Jun/18 4:58 PM,Data Uploads - RAW Portal View + Remap Post: Sales - RAW-SYN-Sales Adjustments (SPN),Open,,Spine,,2.0,,,,,,,,,Mormont,,,,,,,Spine,,,,,,,,,,,
Story,AAKO-8169,1503343,14/Jun/18 4:59 PM,AAKO-8074,14/Jun/18 4:58 PM,Data Uploads - RAW Portal View + Remap Post: Sales - RAW-Geo Adjustments (SPN),Open,,Spine,,2.0,,,,,,,,,Mormont,,,,,,,Spine,,,,,,,,,,,
